subject,date,snowfree,location,moisture,temp
1,26-Jun,2,1,42.8,7
1,26-Jun,2,2,46.4,4
1,26-Jun,2,3,48.4,6
1,26-Jun,2,4,46.6,5
1,26-Jun,2,5,46.2,5
1,26-Jun,2,6,46.2,6
1,26-Jun,2,7,46.9,3
1,7/2/17,8,1,43.3,6.3
1,7/2/17,8,2,49.2,6.4
1,7/2/17,8,3,48,5.3
1,7/2/17,8,4,49.4,3.1
1,7/2/17,8,5,46.8,5
1,7/2/17,8,6,45.8,5.8
1,7/2/17,8,7,43.1,5.8
1,7/12/17,18,1,41.3,9.4
1,7/12/17,18,2,46.4,9.8
1,7/12/17,18,3,42.5,9.2
1,7/12/17,18,4,30,10.5
1,7/12/17,18,5,39.1,9.5
1,7/12/17,18,6,38.2,9.1
1,7/12/17,18,7,37.9,9.8
1,7/26/17,32,1,27.7,12.3
1,7/26/17,32,2,39.3,12.3
1,7/26/17,32,3,30.1,12.1
1,7/26/17,32,4,30.6,12.4
1,7/26/17,32,5,30.2,12.4
1,7/26/17,32,6,32.1,12.9
1,7/26/17,32,7,36,12.3
1,2-Aug,39,1,28.3,9.4
1,2-Aug,39,2,20.7,9.9
1,2-Aug,39,3,25.2,9.4
1,2-Aug,39,4,21.8,10.1
1,2-Aug,39,5,27.8,10.4
1,2-Aug,39,6,20.4,10
1,2-Aug,39,7,21.1,9.7
1,8/16/17,53,1,23.7,7.6
1,8/16/17,53,2,21.3,7.9
1,8/16/17,53,3,20.2,8.4
1,8/16/17,53,4,24.2,8.2
1,8/16/17,53,5,24.5,8.4
1,8/16/17,53,6,17.6,7.5
1,8/16/17,53,7,8.2,7.5
1,9/11/17,79,1,12.2,6.1
1,9/11/17,79,2,8.9,6.7
1,9/11/17,79,3,13,5.8
1,9/11/17,79,4,14.5,5.3
1,9/11/17,79,5,8.9,6.7
1,9/11/17,79,6,14.4,6.8
1,9/11/17,79,7,10.9,6.9