ID,Species,Code,Row,Herbicide,Seeding,Date,Viewer,FRE.H,FRE.A,FRE.V,FRE.OL,FRE.Tot,AMF.H,AMF.A,AMF.V,AMF.OL,AMF.Tot,DSE.H,DSE.M,DSE.OL,DSE.Tot,NM,Tot.Perc.Col,FRE.Yes,FRE.No,AMF.Yes,AMF.No,DSE.Yes,DSE.No,Egg.Fungus,Blue.Spheres,Photos,Notes
BrIn71,Bromus inermis,BrIn,71,0,Seeded,7/2/19,Abby,0,0,0,0,0,10,0,0.5,0,10.5,0,0,0,0,90,10,0,100,10,90,0,100,0,0,None,None
BrIn72,Bromus inermis,BrIn,72,0,Unseeded,7/2/19,Cliff,0,0,0,0,0,28,0,4,3,29,5,0,0,5,66,34,0,100,29,71,5,95,0,0,None,None
BrIn79,Bromus inermis,BrIn,79,0,Seeded,7/3/19,Cliff,3,0,0,0,3,6,0,0,0,6,1,1,0,2,90,10,3,97,6,94,2,98,0,15,"Jul 3 Photo 1 160 X, Photo 2 160 X",None
BrIn84,Bromus inermis,BrIn,84,0,Seeded,7/3/19,Abby,0,0,0,0,0,13,0,3,0,16,0,0,0,0,84,16,0,100,16,84,0,100,0,0,None,None
BrIn87,Bromus inermis,BrIn,87,0,Seeded,7/5/19,Cliff,1,0,0,0,1,40,2,0,1,41,7,0,0,7,60,40,1,99,41,59,7,93,0,0,None,"Viewed by Adam, but Cliff was present"
BrIn90,Bromus inermis,BrIn,90,0,Unseeded,7/5/19,Cliff,2,0,0,0,2,6,1,1,0,8,24,0,0,24,72,28,2,98,8,92,24,76,0,0,Jul 5 Photo 1 200 X,None
BrIn70,Bromus inermis,BrIn,70,2,Seeded,7/3/19,Cliff,1,0,0,0,1,1,0,0,0,1,2,0,0,2,97,3,1,99,1,99,2,98,0,2,None,None
BrIn76,Bromus inermis,BrIn,76,2,Seeded,7/3/19,Cliff,8,0,0,0,8,31,2,0,2,31,5,0,0,5,65,35,8,92,31,69,5,95,0,0,None,"Viewed by Adam, but Cliff was present"
BrIn78,Bromus inermis,BrIn,78,2,Seeded,7/1/19,Cliff,0,0,0,0,0,12,4,0,4,12,8,0,0,8,80,20,0,100,12,88,8,92,0,0,None,None
BrIn81,Bromus inermis,BrIn,81,2,Seeded,7/5/19,Abby,0,0,0,0,0,11,0,1,0,12,0,0,0,0,88,12,0,100,12,88,0,100,0,0,None,None
BrIn85,Bromus inermis,BrIn,85,2,Unseeded,7/29/19,Abby,0,0,0,0,0,9,0,0.5,0,9.5,14,0,0,14,79,21,0,100,9,91,14,86,0,0,None,None
BrIn88,Bromus inermis,BrIn,88,2,Seeded,7/19/19,Abby,0,0,0,0,0,13,0,0.5,0,13.5,6,0,0,6,81,19,0,100,13,87,6,94,0,0,None,None
BrIn73,Bromus inermis,BrIn,73,4,Seeded,6/28/19,Cliff,0,0,0,0,0,4,1,0,1,4,0,0,0,0,96,4,0,100,4,96,0,100,0,0,None,None
BrIn74,Bromus inermis,BrIn,74,4,Seeded,6/28/19,Abby,0,0,0,0,0,1,0,0,0,1,0,0,0,0,99,1,0,100,1,99,0,100,0,0,None,None
BrIn77,Bromus inermis,BrIn,77,4,Unseeded,7/3/19,Cliff,5,0,0,0,5,7,0,0,0,7,2,0,0,2,88,12,5,95,7,93,2,98,0.5,4,None,None
BrIn82,Bromus inermis,BrIn,82,4,Seeded,7/17/19,Abby,0,0,0,0,0,5,0,1,0,6,2,0,0,2,92,8,0,100,6,94,2,98,0,0,None,None
BrIn89,Bromus inermis,BrIn,89,4,Seeded,7/10/19,Abby,0,0,0,0,0,4,0,0.5,0,4.5,1,0,0,1,95,5,0,100,4,96,1,99,0,0,None,None
BrIn93,Bromus inermis,BrIn,93,4,Seeded,7/19/19,Abby,0,0,0,0,0,7,0.5,0,0,7.5,3,0,0,3,90,10,0,100,7,93,3,97,0,0,None,None
EuCh79,Eucrypta chrysanthemifolia,EuCh,79,0,Seeded,7/1/19,Cliff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,1,0,Jul 1 Photo 1 160 X,None
EuCh84,Eucrypta chrysanthemifolia,EuCh,84,0,Seeded,7/1/19,Cliff,0,0,0,0,0,15,0,7,5,17,6,0,0,6,80,20,0,100,17,83,6,94,2,0,None,None
EuCh87,Eucrypta chrysanthemifolia,EuCh,87,0,Seeded,7/1/19,Cliff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,7,0,"Jul 1 Photo 2 160 X, Photo 3 100 X",Only 50 hits
EuCh76,Eucrypta chrysanthemifolia,EuCh,76,2,Seeded,7/2/19,Cliff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,0,0,None,None
EuCh78,Eucrypta chrysanthemifolia,EuCh,78,2,Seeded,9/9/19,Cliff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,0,0,None,None
EuCh85,Eucrypta chrysanthemifolia,EuCh,85,2,Unseeded,7/31/19,Abby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,0,0,None,None
EuCh88,Eucrypta chrysanthemifolia,EuCh,88,2,Seeded,9/9/19,Cliff,0,0,0,0,0,3,0,3,3,3,0,0,0,0,97,3,0,100,3,97,0,100,0,0,None,None
EuCh94,Eucrypta chrysanthemifolia,EuCh,94,2,Seeded,8/7/19,Abby,0,0,0,0,0,2,0,0,0,2,0,0,0,0,98,2,0,100,2,98,0,100,0,0,None,None
EuCh73,Eucrypta chrysanthemifolia,EuCh,73,4,Seeded,9/9/19,Cliff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,0,0,None,None
EuCh77,Eucrypta chrysanthemifolia,EuCh,77,4,Unseeded,9/9/19,Cliff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,100,0,0,None,None
EuCh82,Eucrypta chrysanthemifolia,EuCh,82,4,Seeded,8/7/19,Abby,0,0,0,0,0,7,2,0,0,9,1,0,0,1,90,10,0,100,9,91,1,99,0,4,None,None
EuCh86,Eucrypta chrysanthemifolia,EuCh,86,4,Unseeded,9/9/19,Cliff,2,0,0,0,2,0,0,0,0,0,0,0,0,0,98,2,2,98,0,100,0,100,0,0,Sep 9 Photo 1 160 X,FRE following cell walls
EuCh89,Eucrypta chrysanthemifolia,EuCh,89,4,Seeded,8/7/19,Abby,0,0,0,0,0,9,1,2,0,12,2,0,0,2,88,12,0,100,12,88,2,98,0,3,None,None
MeOf73,Melilotus officinalis,MeOf,73,4,Seeded,7/3/19,Cliff,0,0,0,0,0,28,2,1,2,29,0,0,0,0,72,28,0,100,29,71,0,100,0,0,Jul 3 Photo 3 160 X,None
PuCl70,Purple clover,PuCl,70,2,Seeded,9/3/19,Cliff,0,0,0,0,0,51,14,2,16,51,0,0,0,0,49,51,0,100,51,49,0,100,0,0,Sep 3 Photo 1 160 X,None
PuCl74,Purple clover,PuCl,74,4,Seeded,9/3/19,Cliff,5,0,1,1,5,13,3,0,3,13,1,0,0,1,87,13,5,95,13,87,1,99,0,0,None,None