Taxon,Site,Difference
Acidobacteria,Soddie,1.93
Actinobacteria,Soddie,-0.73
Chloroflexi,Soddie,-14.48
Proteobacteria,Soddie,8.70
Verrucomicrobia,Soddie,-0.88
Ktedonobacteria,Soddie,-14.33
Alphaproteobacteria,Soddie,5.46
Spartobacteria,Soddie,-1.11
Acidobacteria,Arikaree,0.46
Actinobacteria,Arikaree,0.25
Chloroflexi,Arikaree,-0.80
Proteobacteria,Arikaree,-2.16
Verrucomicrobia,Arikaree,6.67
Ktedonobacteria,Arikaree,0.28
Alphaproteobacteria,Arikaree,0.65
Spartobacteria,Arikaree,6.43