Site,Class,NAG,BG,PHOS
Arikaree,Vascular,2.057395,32.20952,62.35141
Arikaree,Moss,5.977661861,15.64453855,49.46752376
Arikaree,Vascular,27.99444987,105.1195702,91.3374559
Arikaree,Moss,3.489192229,22.94935225,33.87966057
Arikaree,Moss,46.80745723,91.47473027,85.72286924
Arikaree,Vascular,36.74331956,122.4285849,118.9358991
Arikaree,Vascular,2.463040616,24.77063158,71.99087962
Arikaree,Moss,3.783049721,33.08469665,28.48091035
Arikaree,Vascular,9.594758472,39.68010028,43.06836492
Arikaree,Vascular,2.280395529,27.6183557,32.1387018
Arikaree,Vascular,4.679254677,60.81175283,65.64492979
Arikaree,Vascular,53.18818192,109.3697209,102.3568822
Arikaree,Moss,2.571379019,15.59681135,18.27399966
Arikaree,Moss,1.493043935,9.458949964,16.13344986
Arikaree,Vascular,9.845385836,61.34438554,75.04733646
Arikaree,Vascular,6.957662904,41.16941646,43.35392068
Arikaree,Moss,1.355264466,6.271614913,25.83299183
Arikaree,Moss,9.429048745,59.42742892,117.0724497
Arikaree,Moss,1.017924319,24.47606189,66.07277365
Arikaree,Moss,11.78505234,50.38852916,80.55079509
Soddie,Vascular,335.7629879,772.1561527,1495.612508
Soddie,Vascular,221.5236134,633.7989622,1117.905565
Soddie,Vascular,172.875077,602.3374339,1150.424297
Soddie,Vascular,223.2607493,597.9117273,1214.682955
Soddie,Vascular,120.0292833,492.6020516,868.6742222
Soddie,Vascular,229.6315819,708.7861888,1281.392014
Soddie,Vascular,187.4612825,651.7241725,1321.52778
Soddie,Vascular,237.1688332,533.3985877,974.1998382
Soddie,Moss,65.18671727,293.115792,747.4863553
Soddie,Moss,45.77437003,305.4001231,662.9601739
Soddie,Moss,136.4642175,375.2909799,942.1844343
Soddie,Moss,118.4812509,498.2585123,981.1271371
Soddie,Moss,87.03947384,431.5971466,902.0418453
Soddie,Moss,93.67125888,336.4827693,760.710128
Soddie,Moss,168.2706974,439.3855884,1063.988997