sample,site,AcidobacteriaAcidobacteriia,AcidobacteriaSolibacteres,ActinobacteriaActinobacteria,ActinobacteriaThermoleophilia,ChloroflexiKtedonobacteria,ProteobacteriaAlpha,VerrucomicrobiaSpartobacteria,ActinobacteriaThermoleophiliaSolirubrobacterales,AlphaRhizobiales,AlphaRhodospirillales,Acidobacteria,Actinobacteria,Bacteroidetes,Chloroflexi,Cyanobacteria,Proteobacteria,Verrucomicrobia
B3.0,b,0.040422535,0.04528169,0.109366197,0.093098592,0.172887324,0.127464789,0.092323944,0.089859155,0.05415493,0.052535211,0.132323944,0.216197183,0.014084507,0.196690141,0.002957746,0.183661972,0.096267606
B4.0,b,0.065704225,0.064084507,0.065633803,0.063239437,0.347816901,0.101971831,0.052183099,0.062676056,0.043873239,0.039084507,0.147605634,0.133239437,0.022816901,0.360492958,0.006478873,0.157887324,0.058380282
B7.0,b,0.078591549,0.042887324,0.085211268,0.043380282,0.234929577,0.11443662,0.06556338,0.042112676,0.055352113,0.031690141,0.148450704,0.134577465,0.048239437,0.24443662,0.002394366,0.198169014,0.073169014
B6.0,b,0.051549296,0.062676056,0.061056338,0.053521127,0.358098592,0.097535211,0.074084507,0.052605634,0.041478873,0.044014085,0.138732394,0.121197183,0.021901408,0.370352113,0.003169014,0.151197183,0.081830986
B8.0,b,0.063309859,0.060915493,0.060422535,0.059647887,0.265774648,0.149929577,0.066760563,0.058873239,0.054929577,0.077605634,0.150915493,0.126901408,0.017253521,0.279014085,0.016830986,0.209507042,0.071338028
B1.0,b,0.060985915,0.059014085,0.065140845,0.056126761,0.227887324,0.117464789,0.095211268,0.055140845,0.05084507,0.050774648,0.167464789,0.12943662,0.025070423,0.248591549,0.003521127,0.183239437,0.101830986
B5.0,b,0.062605634,0.059929577,0.056478873,0.078239437,0.302746479,0.096619718,0.091478873,0.076901408,0.046408451,0.039577465,0.156478873,0.143028169,0.009859155,0.314577465,0.003309859,0.138521127,0.095140845
B2.0,b,0.040352113,0.082887324,0.077957746,0.07556338,0.256197183,0.108380282,0.09556338,0.074014085,0.045422535,0.051267606,0.158239437,0.160070423,0.017112676,0.284859155,0.005140845,0.153873239,0.097746479
V7.0,v,0.056971831,0.073591549,0.084014085,0.04415493,0.180774648,0.151056338,0.081478873,0.042253521,0.056267606,0.064084507,0.162676056,0.135633803,0.032605634,0.199295775,0.001549296,0.230211268,0.085492958
V4.0,v,0.093873239,0.040492958,0.109788732,0.049647887,0.040070423,0.197183099,0.034647887,0.045422535,0.08915493,0.052464789,0.158380282,0.167323944,0.071690141,0.044929577,0.002676056,0.324014085,0.04915493
V3.0,v,0.061901408,0.061197183,0.08971831,0.057676056,0.124577465,0.178732394,0.098169014,0.054577465,0.05584507,0.09084507,0.148028169,0.156056338,0.038591549,0.148098592,0.01028169,0.24971831,0.102042254
V5.0,v,0.069014085,0.055633803,0.046549296,0.051549296,0.072323944,0.134859155,0.117676056,0.046408451,0.065422535,0.037535211,0.196971831,0.107746479,0.033169014,0.097042254,0.004577465,0.237464789,0.13
V1.0,v,0.093309859,0.065422535,0.088732394,0.051338028,0.098591549,0.165492958,0.054084507,0.048732394,0.070774648,0.061830986,0.203591549,0.146197183,0.039084507,0.107464789,0.001901408,0.257676056,0.060633803
V6.0,v,0.065704225,0.050352113,0.092394366,0.053802817,0.103098592,0.197957746,0.03443662,0.048450704,0.075985915,0.055704225,0.146690141,0.154014085,0.07028169,0.112957746,0.001549296,0.304507042,0.045774648
V8.0,v,0.071197183,0.065352113,0.078450704,0.03528169,0.243591549,0.144084507,0.054084507,0.035070423,0.055422535,0.065,0.165422535,0.118169014,0.029295775,0.255633803,0.004647887,0.213098592,0.058309859
V2.0,v,0.070633803,0.068521127,0.074577465,0.040985915,0.157183099,0.180774648,0.069507042,0.03915493,0.064295775,0.088802817,0.172676056,0.121056338,0.024929577,0.175,0.001690141,0.255633803,0.074295775