plant,treat,rep,germday,germ,germq,seedcount
TriSpi,Live,1,0,0,No,1
TriSpi,Live,4,0,0,No,1
TriSpi,Live,5,0,0,No,1
TriSpi,Live,6,0,0,No,1
TriSpi,Live,9,0,0,No,1
TriSpi,Live,10,0,0,No,1
TriSpi,Live,12,0,0,No,1
TriSpi,Live,13,0,0,No,1
TriSpi,Live,30,0,0,No,1
TriSpi,Live,31,0,0,No,1
TriSpi,Live,32,0,0,No,1
TriSpi,Live,33,0,0,No,1
TriSpi,Live,34,0,0,No,1
TriSpi,Live,35,0,0,No,1
TriSpi,Live,36,0,0,No,1
TriSpi,Live,37,0,0,No,1
TriSpi,Live,38,0,0,No,1
TriSpi,Live,39,0,0,No,1
TriSpi,Live,40,0,0,No,1
TriSpi,Live,41,0,0,No,1
TriSpi,Live,42,0,0,No,1
TriSpi,Live,43,0,0,No,1
TriSpi,Live,44,0,0,No,1
TriSpi,Live,45,0,0,No,1
TriSpi,Live,46,0,0,No,1
TriSpi,Live,47,0,0,No,1
TriSpi,Live,48,0,0,No,1
TriSpi,Live,49,0,0,No,1
TriSpi,Live,50,0,0,No,1
TriSpi,slurry,24,0,0,No,1
TriSpi,slurry,25,0,0,No,1
TriSpi,slurry,26,0,0,No,1
TriSpi,slurry,27,0,0,No,1
TriSpi,slurry,28,0,0,No,1
TriSpi,slurry,29,0,0,No,1
TriSpi,slurry,30,0,0,No,1
TriSpi,slurry,31,0,0,No,1
TriSpi,slurry,32,0,0,No,1
TriSpi,slurry,33,0,0,No,1
TriSpi,slurry,34,0,0,No,1
TriSpi,slurry,35,0,0,No,1
TriSpi,slurry,36,0,0,No,1
TriSpi,slurry,37,0,0,No,1
TriSpi,slurry,38,0,0,No,1
TriSpi,slurry,39,0,0,No,1
TriSpi,slurry,40,0,0,No,1
TriSpi,slurry,41,0,0,No,1
TriSpi,slurry,42,0,0,No,1
TriSpi,slurry,43,0,0,No,1
TriSpi,slurry,44,0,0,No,1
TriSpi,slurry,45,0,0,No,1
TriSpi,slurry,46,0,0,No,1
TriSpi,slurry,47,0,0,No,1
TriSpi,slurry,48,0,0,No,1
TriSpi,slurry,49,0,0,No,1
TriSpi,slurry,50,0,0,No,1
TriSpi,Sterile,25,0,0,No,1
TriSpi,Sterile,26,0,0,No,1
TriSpi,Sterile,27,0,0,No,1
TriSpi,Sterile,28,0,0,No,1
TriSpi,Sterile,29,0,0,No,1
TriSpi,Sterile,30,0,0,No,1
TriSpi,Sterile,31,0,0,No,1
TriSpi,Sterile,32,0,0,No,1
TriSpi,Sterile,33,0,0,No,1
TriSpi,Sterile,34,0,0,No,1
TriSpi,Sterile,35,0,0,No,1
TriSpi,Sterile,36,0,0,No,1
TriSpi,Sterile,37,0,0,No,1
TriSpi,Sterile,38,0,0,No,1
TriSpi,Sterile,39,0,0,No,1
TriSpi,Sterile,40,0,0,No,1
TriSpi,Sterile,41,0,0,No,1
TriSpi,Sterile,42,0,0,No,1
TriSpi,Sterile,43,0,0,No,1
TriSpi,Sterile,44,0,0,No,1
TriSpi,Sterile,45,0,0,No,1
TriSpi,Sterile,46,0,0,No,1
TriSpi,Sterile,47,0,0,No,1
TriSpi,Sterile,48,0,0,No,1
TriSpi,Sterile,49,0,0,No,1
TriSpi,Sterile,50,0,0,No,1
FesBra,slurry,31,0,0,No,1
FesBra,slurry,32,0,0,No,1
FesBra,slurry,33,0,0,No,1
FesBra,slurry,34,0,0,No,1
FesBra,slurry,35,0,0,No,1
FesBra,slurry,36,0,0,No,1
FesBra,slurry,37,0,0,No,1
FesBra,slurry,38,0,0,No,1
FesBra,slurry,39,0,0,No,1
FesBra,slurry,40,0,0,No,1
FesBra,slurry,41,0,0,No,1
FesBra,slurry,42,0,0,No,1
FesBra,slurry,43,0,0,No,1
FesBra,slurry,44,0,0,No,1
FesBra,slurry,45,0,0,No,1
FesBra,slurry,46,0,0,No,1
FesBra,slurry,47,0,0,No,1
FesBra,slurry,48,0,0,No,1
FesBra,slurry,49,0,0,No,1
FesBra,slurry,50,0,0,No,1
FesBra,Sterile,28,0,0,No,1
FesBra,Sterile,29,0,0,No,1
FesBra,Sterile,30,0,0,No,1
FesBra,Sterile,31,0,0,No,1
FesBra,Sterile,32,0,0,No,1
FesBra,Sterile,33,0,0,No,1
FesBra,Sterile,34,0,0,No,1
FesBra,Sterile,35,0,0,No,1
FesBra,Sterile,36,0,0,No,1
FesBra,Sterile,37,0,0,No,1
FesBra,Sterile,38,0,0,No,1
FesBra,Sterile,39,0,0,No,1
FesBra,Sterile,40,0,0,No,1
FesBra,Sterile,41,0,0,No,1
FesBra,Sterile,42,0,0,No,1
FesBra,Sterile,43,0,0,No,1
FesBra,Sterile,44,0,0,No,1
FesBra,Sterile,45,0,0,No,1
FesBra,Sterile,46,0,0,No,1
FesBra,Sterile,47,0,0,No,1
FesBra,Sterile,48,0,0,No,1
FesBra,Sterile,49,0,0,No,1
FesBra,Sterile,50,0,0,No,1
FesBra,Live,31,0,0,No,1
FesBra,Live,32,0,0,No,1
FesBra,Live,33,0,0,No,1
FesBra,Live,34,0,0,No,1
FesBra,Live,35,0,0,No,1
FesBra,Live,36,0,0,No,1
FesBra,Live,37,0,0,No,1
FesBra,Live,38,0,0,No,1
FesBra,Live,39,0,0,No,1
FesBra,Live,40,0,0,No,1
FesBra,Live,41,0,0,No,1
FesBra,Live,42,0,0,No,1
FesBra,Live,43,0,0,No,1
FesBra,Live,44,0,0,No,1
FesBra,Live,45,0,0,No,1
FesBra,Live,46,0,0,No,1
FesBra,Live,47,0,0,No,1
FesBra,Live,48,0,0,No,1
FesBra,Live,49,0,0,No,1
FesBra,Live,50,0,0,No,1
TriSpi,Live,3,4,1,Yes,1
TriSpi,Live,8,4,1,Yes,1
TriSpi,Live,14,4,1,Yes,1
TriSpi,Live,15,4,1,Yes,1
TriSpi,Live,16,4,1,Yes,1
TriSpi,Live,20,4,1,Yes,1
TriSpi,Live,28,4,1,Yes,1
TriSpi,slurry,7,4,1,Yes,1
TriSpi,slurry,8,4,1,Yes,1
TriSpi,slurry,11,4,1,Yes,1
TriSpi,slurry,18,4,1,Yes,1
TriSpi,slurry,20,4,1,Yes,1
TriSpi,slurry,23,4,1,Yes,1
TriSpi,Sterile,3,4,1,Yes,1
TriSpi,Sterile,5,4,1,Yes,1
TriSpi,Sterile,7,4,1,Yes,1
TriSpi,Sterile,14,4,1,Yes,1
TriSpi,Sterile,15,4,1,Yes,1
TriSpi,Sterile,16,4,1,Yes,1
FesBra,Live,3,4,1,Yes,1
FesBra,Live,4,4,1,Yes,1
FesBra,Live,5,4,1,Yes,1
FesBra,Live,7,4,1,Yes,1
FesBra,Live,8,4,1,Yes,1
FesBra,Live,10,4,1,Yes,1
FesBra,Live,11,4,1,Yes,1
FesBra,Live,13,4,1,Yes,1
FesBra,Live,19,4,1,Yes,1
FesBra,Live,20,4,1,Yes,1
FesBra,Live,25,4,1,Yes,1
FesBra,Live,26,4,1,Yes,1
FesBra,Live,28,4,1,Yes,1
FesBra,Live,29,4,1,Yes,1
FesBra,slurry,1,4,1,Yes,1
FesBra,slurry,2,4,1,Yes,1
FesBra,slurry,3,4,1,Yes,1
FesBra,slurry,5,4,1,Yes,1
FesBra,slurry,6,4,1,Yes,1
FesBra,slurry,7,4,1,Yes,1
FesBra,slurry,10,4,1,Yes,1
FesBra,slurry,11,4,1,Yes,1
FesBra,slurry,16,4,1,Yes,1
FesBra,slurry,19,4,1,Yes,1
FesBra,slurry,21,4,1,Yes,1
FesBra,slurry,22,4,1,Yes,1
FesBra,slurry,23,4,1,Yes,1
FesBra,slurry,30,4,1,Yes,1
FesBra,Sterile,17,4,1,Yes,1
FesBra,Sterile,18,4,1,Yes,1
FesBra,Sterile,21,4,1,Yes,1
FesBra,Sterile,22,4,1,Yes,1
FesBra,Sterile,25,4,1,Yes,1
FesBra,Sterile,26,4,1,Yes,1
TriSpi,Live,11,5,1,Yes,1
TriSpi,Live,18,5,1,Yes,1
TriSpi,Live,25,5,1,Yes,1
TriSpi,Live,26,5,1,Yes,1
TriSpi,Live,27,5,1,Yes,1
TriSpi,slurry,1,5,1,Yes,1
TriSpi,slurry,2,5,1,Yes,1
TriSpi,slurry,3,5,1,Yes,1
TriSpi,slurry,9,5,1,Yes,1
TriSpi,slurry,12,5,1,Yes,1
TriSpi,slurry,13,5,1,Yes,1
TriSpi,slurry,14,5,1,Yes,1
TriSpi,slurry,15,5,1,Yes,1
TriSpi,slurry,19,5,1,Yes,1
TriSpi,slurry,22,5,1,Yes,1
TriSpi,Sterile,1,5,1,Yes,1
TriSpi,Sterile,4,5,1,Yes,1
TriSpi,Sterile,6,5,1,Yes,1
TriSpi,Sterile,9,5,1,Yes,1
TriSpi,Sterile,10,5,1,Yes,1
TriSpi,Sterile,13,5,1,Yes,1
TriSpi,Sterile,18,5,1,Yes,1
TriSpi,Sterile,19,5,1,Yes,1
TriSpi,Sterile,20,5,1,Yes,1
TriSpi,Sterile,21,5,1,Yes,1
TriSpi,Sterile,23,5,1,Yes,1
FesBra,Live,2,5,1,Yes,1
FesBra,Live,9,5,1,Yes,1
FesBra,Live,12,5,1,Yes,1
FesBra,Live,14,5,1,Yes,1
FesBra,Live,17,5,1,Yes,1
FesBra,Live,18,5,1,Yes,1
FesBra,Live,21,5,1,Yes,1
FesBra,Live,23,5,1,Yes,1
FesBra,slurry,8,5,1,Yes,1
FesBra,slurry,9,5,1,Yes,1
FesBra,slurry,13,5,1,Yes,1
FesBra,slurry,14,5,1,Yes,1
FesBra,slurry,15,5,1,Yes,1
FesBra,slurry,20,5,1,Yes,1
FesBra,slurry,24,5,1,Yes,1
FesBra,slurry,25,5,1,Yes,1
FesBra,slurry,28,5,1,Yes,1
FesBra,slurry,29,5,1,Yes,1
FesBra,Sterile,6,5,1,Yes,1
FesBra,Sterile,7,5,1,Yes,1
FesBra,Sterile,9,5,1,Yes,1
FesBra,Sterile,13,5,1,Yes,1
FesBra,Sterile,19,5,1,Yes,1
FesBra,Sterile,20,5,1,Yes,1
FesBra,Sterile,24,5,1,Yes,1
FesBra,Live,1,5,1,Yes,1
FesBra,Live,30,5,1,Yes,1
TriSpi,Live,2,6,1,Yes,1
TriSpi,Live,7,6,1,Yes,1
TriSpi,Live,19,6,1,Yes,1
TriSpi,Live,23,6,1,Yes,1
TriSpi,Live,24,6,1,Yes,1
TriSpi,slurry,4,6,1,Yes,1
TriSpi,slurry,5,6,1,Yes,1
TriSpi,slurry,10,6,1,Yes,1
TriSpi,slurry,21,6,1,Yes,1
TriSpi,Sterile,2,6,1,Yes,1
TriSpi,Sterile,22,6,1,Yes,1
TriSpi,Sterile,24,6,1,Yes,1
FesBra,Live,15,6,1,Yes,1
FesBra,Live,22,6,1,Yes,1
FesBra,Live,24,6,1,Yes,1
FesBra,slurry,4,6,1,Yes,1
FesBra,slurry,26,6,1,Yes,1
FesBra,Sterile,1,6,1,Yes,1
FesBra,Sterile,2,6,1,Yes,1
FesBra,Sterile,4,6,1,Yes,1
FesBra,Sterile,12,6,1,Yes,1
FesBra,Sterile,15,6,1,Yes,1
FesBra,Sterile,16,6,1,Yes,1
FesBra,Sterile,23,6,1,Yes,1
FesBra,Sterile,27,6,1,Yes,1
TriSpi,Live,17,7,1,Yes,1
TriSpi,slurry,6,7,1,Yes,1
TriSpi,slurry,16,7,1,Yes,1
TriSpi,Sterile,11,7,1,Yes,1
TriSpi,Sterile,12,7,1,Yes,1
FesBra,Live,6,7,1,Yes,1
FesBra,Live,27,7,1,Yes,1
FesBra,slurry,12,7,1,Yes,1
FesBra,slurry,18,7,1,Yes,1
FesBra,slurry,27,7,1,Yes,1
FesBra,Sterile,3,7,1,Yes,1
FesBra,Sterile,8,7,1,Yes,1
FesBra,Sterile,10,7,1,Yes,1
TriSpi,Live,22,8,1,Yes,1
TriSpi,slurry,17,8,1,Yes,1
FesBra,slurry,17,8,1,Yes,1
FesBra,Sterile,5,8,1,Yes,1
FesBra,Sterile,14,8,1,Yes,1
TriSpi,Live,29,9,1,Yes,1
TriSpi,Sterile,8,9,1,Yes,1
FesBra,Live,16,9,1,Yes,1
FesBra,Sterile,11,9,1,Yes,1
TriSpi,Live,21,10,1,Yes,1
TriSpi,Sterile,17,10,1,Yes,1