Site ID,Type,Community,Cover,Depth,pH,Moisture,Bulk,Aspect,Slope,Elevation,June1Avg,June1Trend,June1CV,June1Solar,Slope_cat,Aspect_cat,Elev_cat
BT 0,Bare to Tundra,Fellfield,50,69,5.21,18.99,0.818598307,132.419,13.2155,3515.65,0.003929167,-0.001003951,2.82417093,26.60789,20-Oct,SE,3500 - 3600
BT 13,Bare to Tundra,Talus,60,9,5.47,31.74,0.393215946,79.6697,52.9444,3811.71,0.021409167,-0.003562902,1.74755763,13.52036,50 - 60,E,3800 - 3900
BT 18,Bare to Tundra,Dry Meadow,30,33,4.57,33.78,0.541197187,102.357,47.7321,3624.74,0.123840833,-0.001582483,0.76695019,15.76226,40 - 50,E,3600 - 3700
BT 19,Bare to Tundra,Dry Meadow,75,34,5.75,20.75,0.594695148,32.6415,6.71865,3441.66,0.0301275,0.000439615,1.58358876,25.31831,0 - 10,NE,3400 - 3500
BT 2,Bare to Tundra,Talus,50,16,5.19,20.04,0.461989347,117.749,59.2721,3750.06,0.147998333,-0.010586783,0.86005627,10.46459,50 - 60,SE,3700 - 3800
BT 28,Bare to Tundra,Talus,20,15,6.24,12.07,0.691059454,176.303,27.0334,3616.03,0.002235833,-0.000571084,2.58542749,25.95187,20 - 30,S,3600 - 3700
BT 29,Bare to Tundra,Talus,30,10,6.19,16.13,0.50742718,28.5241,40.366,3473.23,0.2127575,-0.02639528,0.60543014,17.88084,40 - 50,NE,3400 - 3500
BT 32,Bare to Tundra,Wet Meadow,95,100,5.03,29.06,0.689425222,157.558,8.45278,3476.03,0.282278333,-0.010546993,0.81925849,26.98488,0 - 10,S,3400 - 3500
BT 34,Bare to Tundra,Snowbed,75,15,4.58,42.78,0.439163076,125.203,12.2945,3566.49,0.6524525,-0.108093042,0.7647349,26.22343,20-Oct,SE,3500 - 3600
BT 37,Bare to Tundra,Fellfield,55,51,4.51,10.66,0.721462237,50.7898,10.1604,3487.83,0.113774167,-0.00521465,1.4308451,24.75849,20-Oct,NE,3400 - 3500
BT 39,Bare to Tundra,Moist Meadow,80,20,4.41,35.98,0.596395387,48.3977,15.5105,3447.54,0.452895833,-0.059947308,0.76882533,23.10416,20-Oct,NE,3400 - 3500
BT 8,Bare to Tundra,Talus,50,25,5.3,8.12,0.827578388,355.565,33.6671,3719.03,0.279541667,-0.029792657,0.85157065,16.75012,30 - 40,N,3700 - 3800
BB 12,Stayed Bare,Fellfield,25,20,4.2,31.65,0.542644708,62.6481,11.0287,3523.66,0.786975,-0.072111119,0.53284786,25.14298,20-Oct,NE,3500 - 3600
BB 14,Stayed Bare,Bare,50,14,5.5,11.94,0.732804464,124.241,61.6961,3624.96,0.336354167,-0.027213951,1.00416665,20.39241,60 - 70,SE,3600 - 3700
BB 15,Stayed Bare,Talus,13,27,5.67,34.73,0.618928354,73.984,12.8594,3504.07,0.077880833,0.004714441,0.90695283,23.80214,20-Oct,E,3500 - 3600
BB 18,Stayed Bare,Fellfield,40,14,5.71,22.43,0.693199806,161.415,5.9873,3477.76,0.003860833,-0.001020874,2.91509762,27.47532,0 - 10,S,3400 - 3500
BB 2,Stayed Bare,Talus,10,25,5.53,15.73,0.599882092,28.632,29.3026,3865.84,0.155091667,-0.018062378,1.0336993,24.54787,20 - 30,NE,3800 - 3900
BB 21,Stayed Bare,Bare,3,13,4.93,6.12,1.187815092,315.583,23.87,3421.54,0.173644167,0.006473322,0.7933765,24.5407,20 - 30,NW,3400 - 3500
BB 22,Stayed Bare,Talus,7,29,5.86,8.71,1.119798934,349.984,35.7212,3700.15,0.3292625,-0.033318566,0.75244469,19.31325,30 - 40,N,3700 - 3800
BB 24,Stayed Bare,Bare,3,15,4.99,16.85,0.630336417,324.684,25.0747,3423.5,0.058948333,-0.002716993,1.20395049,23.81817,20 - 30,NW,3400 - 3500
BB 25,Stayed Bare,Talus,50,18,5.93,33.35,0.427773447,8.28735,39.4029,3524.44,0.000839167,-0.000211294,2.79664018,19.00374,30 - 40,N,3500 - 3600
BB 32,Stayed Bare,Bare,30,14,5.67,11.35,0.788111005,32.0856,7.87749,3450.54,0.004153333,-0.001084266,2.84936482,24.02632,0 - 10,NE,3400 - 3500
BB 33,Stayed Bare,Talus,10,10,4.95,5.57,1.096290418,178.357,30.4548,3605.32,0.1292975,-0.00893451,0.91400815,25.90534,30 - 40,S,3600 - 3700
BB 5,Stayed Bare,Talus,5,20,5.45,14.68,0.574603362,239.215,50.8418,3846.41,0.071743333,-0.006288252,1.12270687,24.06543,50 - 60,SW,3800 - 3900
TT 10,Stayed Tundra,Fellfield,50,25,5.58,18.96,0.769810673,133.87,8.40157,3502.39,0.0649525,-0.007840594,1.6187356,26.50284,0 - 10,SE,3500 - 3600
TT 12,Stayed Tundra,Snowbed,50,33,4.17,26.79,0.653660584,109.377,13.315,3557.86,0.5849025,-0.092575559,0.77140749,25.82117,20-Oct,E,3500 - 3600
TT 23,Stayed Tundra,Wet Meadow,95,38,4.42,58.45,0.202515661,160.7,6.18556,3477.94,0.167201667,-0.013844615,0.86748352,26.58767,0 - 10,S,3400 - 3500
TT 24,Stayed Tundra,Fellfield,50,24,4.4,39.92,0.349621085,20.2877,26.3477,3803.94,0.065840833,-0.006826888,1.47523607,20.72675,20 - 30,N,3800 - 3900
TT 26,Stayed Tundra,Talus,45,16,5.72,22.49,0.577822176,21.3281,20.7141,3755.16,0.143669167,-0.017351923,0.97708518,25.00047,20 - 30,N,3700 - 3800
TT 29,Stayed Tundra,Wet Meadow,50,13,4.96,47.86,0.309919586,117.571,38.4183,3460.58,0.6870125,-0.048541014,0.47114617,11.64652,30 - 40,SE,3400 - 3500
TT 3,Stayed Tundra,Dry Meadow,70,31,5.55,20.4,0.264,37.4233,6.2317,3435.03,0.0045025,-0.001177937,2.91216887,24.9778,0 - 10,NE,3400 - 3500
TT 32,Stayed Tundra,Moist Meadow,90,15,5.35,29.14,0.4429845,185.265,22.0091,3634.23,0.029470833,-0.01073465,3.06996077,27.9845,20 - 30,S,3600 - 3700
TT 33,Stayed Tundra,Moist Meadow,70,20,4.84,32.43,0.497048431,105.647,59.5952,3709.47,0.250494167,-0.024389056,0.66067938,14.08199,50 - 60,E,3700 - 3800
TT 36,Stayed Tundra,Moist Meadow,100,28,4.59,37.81,0.461962647,36.0165,11.5501,3445.21,0.27958,-0.006035804,0.63209555,23.97366,20-Oct,NE,3400 - 3500
TT 4,Stayed Tundra,Dry Meadow,80,21,5.44,10.26,0.602085664,51.1183,11.7886,3491.54,0.143001667,-0.001239371,1.06867855,24.92264,20-Oct,NE,3400 - 3500
TT 6 ,Stayed Tundra,Moist Meadow,80,36,6.46,31.68,0.381483807,14.8362,30.5398,3551.79,0.0010925,-0.000288566,3.24847055,19.91683,30 - 40,N,3500 - 3600